observation1,observation1_code,observation2,observation2_code,observation3,observation3_code,observation4,observation4_code,observation5,observation5_code,observation6,observation6_code,observation7,observation7_code
similarity: upper right corner of capital I,0,similarity: letter t,0,"dissimilarity: letter m, one is round and the other acute",1,"bottom have the tendency to alter the inclination of skewness, which looks like an intensional disguise",2,,NA,,NA,,NA
letter I,2,letter E,2,letter u,2,letter n,2,,NA,,NA,,NA
U,2,N,2,Y,2,A,2,,NA,,NA,,NA
The spacing between words was different,1,The t crosses were lower on exhibit B than A,1,,NA,,NA,,NA,,NA,,NA
The u seems different. The one on the bottom seems more concise,1,,NA,,NA,,NA,,NA,,NA,,NA
"the T is written different, with the horizontal line being much lower in the second picture",1,"The R is written different, alot less pronounced curve in the first one",1,"The I is dotted on the second one, and does not have a dot on the first one",1,,NA,,NA,,NA,,NA
Capital i,2,Letter y,2,letter g,2,letter e,2,letter s' inclination,2,,NA,,NA
I,2,i,2,G,2,g,2,,NA,,NA,,NA
the letter i,2,,NA,,NA,,NA,,NA,,NA,,NA
Writing Style,2,g,2,I,2,t,2,e,2,u,2,a,2
"The letter I, very wide and bold, in A it's casually written as a threat, in B it's formally written, but I is still big and wide",2,"The letter y, the person writes it as a combination of u and y",2,,NA,,NA,,NA,,NA,,
The capital I's are slightly different,1,The lowercase u's are different,1,The S's are different,1,The writings are at two different slants,1,The spacing of the letters are different,1,The o's are different,1,The k's are different,1
"the way the ""e"" was written",2,"the slight tilt of the ""I"" ",2,"letter ""g""",2,"the letter ""a""",2,"the way he wrote ""s""",2,"""keep"" and ""agree"" (when he connects his words)",2,t,2
the I shape,2,,NA,,NA,,NA,,NA,,NA,,NA
the connection of the e's after thr pervious letter in the second exibit are not the same as the first,1,,NA,,NA,,NA,,NA,,NA,,NA
The a's are rather similar,0,the m's are differnt,1,the e's are differnent,1,The spacing of words,2,the t's are different,1,,NA,,NA
the capitol letters and the Ls and Is are very tall,2,I,2,L,2,T,2,,NA,,NA,,NA
I think its not similar,1,letter s,2,The text above is slanted,2,The following text is straight forward,2,The text above is longer,1,The text below is flatter,1,K,2
"the similar letters, the first note might be rushed and not neat like the second but some of the letters are similar",2,the letter e is very close,2,"although the capital I looks different, it could be because one was written in a hurry",1,the letter n is the same,0,the K is the same,0,the same punctuation use,0,the letter y is the same too,0
G,2,K,2,T,2,i,2,,NA,,NA,,NA
The handwriting aspect of the writing aspect informed my opinion.,2,agree- the g and the a,2,"The ""I"" is also written differently",1,the g in rights is also written differently,1,The spacing of the words is also different,1,The i's are also written differently.,1,The s is also slightly different.,1
"The letter ""h"" has a different concavity",1,"The letter ""g"" looks more disconnected in the robber's note",1,"The letter ""r"" looks curvier to me in the waiving of rights",1,The angle of the letters is slightly slanted on the robber's note,1,"The ""o"" is a differnet shape with the robber's being rounder",1,"The ""t"" is crossed lower consistently on Hines's waiver.",1,"These pieces of information mean that Mr. Hines did not right the note, and is most likely not the robber",2
The double L,2,The capital i,2,,NA,,NA,,NA,,NA,,NA
m in time and m in me look very similar,0,the a's look similar,0,the overall curly style of writing is similar,0,,NA,,NA,,NA,,NA
I'm not completely sure both handwritings look really basic which confused me.,2,The t's are different.,1,The I's look similar,0,,NA,,NA,,NA,,NA
“I” end with slightly left up,2,“ke” and “ee” “de” are connected,2,“r”s similar,0,“s”s similar,0,“ll”and“ll” “lk” not connected,2,“t”s similar,0,nothing more,NA
The spacing of the words.,2,"The letter ""I"" is most distinctly different",1,"The ""e""s are different",1,One letter is more spaced out than the other one.,1,The letters are closer together in one.,1,The period mark.,2,The a's are slightly different,1
"The u's, h's, and a's all look quite similar and everything else in the story was odd.",0,a,2,h,2,u,2,g,2,,NA,,NA
handwriting is less messy,1,g's are different,1,spaced out more,1,h's are different,1,singled spaced,2,u's are different,1,m's are different,1
The similarity in handwriting.,0,And his case.,2,,NA,,NA,,NA,,NA,,NA
I think the spacing between letters and the height of the letters between the two samples looked different.,1,I,2,i,2,o,2,s,2,a,2,e,2
"Letters in exhibit A mostly slope to the right, while letters in exhibit B are most upright.",1,Letters in exhibit A is rounder than exhibit B,1,,NA,,NA,,NA,,NA,,NA
