"manipulation_condition","manipulation_condition_word","system_justification_GMC","pre_evidence_guilt_belief","alignment_search","post_evidence_similarity","post_evidence_match","post_evidence_guilt_belief","right_wing_authoritarianism_GMC","social_dominance_orientation_GMC","need_for_cognition_GMC","political_orientation","race","education","age","gender","which_stim","observation1","observation1_code","observation2","observation2_code","observation3","observation3_code","observation4","observation4_code","observation5","observation5_code","observation6","observation6_code","observation7","observation7_code"
0.5,"Confess_Recant",-0.62598814229249,1,3,3,5.5,5.5,0.864087301587304,-0.239130434782608,0.553824691932105,0,"6",2,"20","2",1,"His a's are the same ",0,"the slant is the same ",0,"the s's are also the same",0,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-2.25098814229249,-2,0,-2,-7.5,-8.5,-1.96924603174604,-1.48913043478261,1.02441292722622,-2,"6",3,"19","1",1,"The letter U",2,"The Letter A",2,"The letter G",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.62598814229249,-1,-4,-2,-4.5,-4.5,0.447420634920634,0.135869565217392,-0.857940013950245,-1,"6",3,"19","2",2,"The e's don't look similar",1,"The a's on the note of the robbery are a lot bigger than the a's on the handwritten form of Mr. Hines",1,"The g's between ""gun"" and ""agree"" are different ",1,"The words in the note of the robbery, they are more close together rather than the handwritten note by Mr. Hines which is more spaced out and clearer to read ",1,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.99901185770751,-1,0,-3,-6.5,-5.5,0.447420634920634,0.260869565217392,-0.387351778656125,-2,"4",5,"19","2",2,"Comparing the endings of similar letters such as a reveals a different writing style",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.12401185770751,0,0,0,-4.5,-4.5,0.947420634920634,1.26086956521739,-0.622645896303185,1,"4",2,"","1",1,"spacing",2,"style",2,"size",2,"neatness",2,"spacing",2,"size",2,"neatness",2
0.5,"Confess_Recant",2.24901185770751,2,5,1,5.5,5.5,0.947420634920634,0.0108695652173916,-0.446175308067895,0,"4",5,"22","2",1,"similar writing skill",0,"similar letter",0,"similar shape ",0,"similar size",0,"similar of I",0,"space",2,"sim",2
0.5,"Confess_Recant",1.62401185770751,1,1,1,3.5,-3.5,0.614087301587304,0.260869565217392,-0.446175308067895,0,"4",2,"19","2",2,"the style of writing the letter ""I"" and ""Y"" are very similar",0,"there is possibility that one of the handwrite is use to pretend",2,"or Mr Hines might change to someone else's hand write when the banker is not seeing him",2,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.99901185770751,-1,-3,-2,-6.5,-3.5,-0.385912698412696,-0.114130434782608,0.847942338990935,2,"1,4",5,"20","1",2,"in the gun and understand the ""un"" is connected differently. In B the u is a part of n while in A they are not",1,"Keep and agree. ""ee""s are different",1,"K letters are different - Keep and talk",1,"The first one consist of multiple sentences while the second is one long sentance ",2,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.12598814229249,-1,-6,-3,-6.5,-6.5,-1.96924603174604,-1.11413043478261,-0.504998837479655,-1,"4",3,"19","1",1,"The capital 'I's are much more slanted in the robbery note.",1,"The bottoms of letters look more 'unfinished' in the robbery note.",1,"The ls slant different ways in the robbery note vs. the form.",1,"The handwriting is much more spaced out in the robbery note.",1,"The curves in the 's's are much more pronounced in the form.",1,"The crosses in the 't's are much lower in the form.",2,"The 'a's are slanted much more vertically in the robbery note.",1
-0.5,"Maintain_Innocence",3.49901185770751,0,-1,2,-6.5,-6.5,0.947420634920634,0.510869565217392,-0.681469425714945,-1,"4",5,"21","1",2,"I:The first ""I"" in the robbbery note is similar to what Hines wrote, but the second is different.",2,"The robbbery note is a bit more divided, and Hines's notes have a lot of run-together, which is not something you can play out.",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",3.49901185770751,-1,0,-2,-6.5,-6.5,0.864087301587304,-0.239130434782608,-1.56382236689142,-1,"4",5,"","1",1,"letter ""I"". The first ""I"" in the robbery note is similar to the one in Hines' handwriting, but the second one is different, which means it wasn't necessarily Hines who wrote the robbery note.",2,"The letters in the robbery note are a little bit divided, and Hines's notes have a lot of connected strokes, which is not something you can play out.",2,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.49901185770751,-1,0,-3,-7.5,-6.5,-1.05257936507937,-0.364130434782608,0.200883515461525,-1,"2",3,"19","1",2,"h",2,"I",2,"s",2,"e",2,"a",2,"u",2,"g",2
0.5,"Confess_Recant",1.37401185770751,2,1,3,7.5,7.5,1.1140873015873,1.63586956521739,-0.622645896303185,2,"4",2,"20","1",2,"letter I ",2,"sloppy E ",2,"the A ",2,"all",2," the ",2,"letters ",2,"are similar",0
0.5,"Confess_Recant",-0.25098814229249,1,-1,-1,-3.5,1.5,0.947420634920634,0.260869565217392,0.965589397814465,0,"4",3,"19","2",1,"Space between words are different but looks intentional",1,"Some letters like R looks so different but A looks the same",2,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.24901185770751,0,7,-2,4.5,5.5,1.1140873015873,1.13586956521739,-0.681469425714945,-2,"4",3,"21","1",1,"The way they write I just look similar",0,"The way they write II just look similar",0,"The way they write a just look similar",0,"The way they write c just look similar",0,"The way they write h just look similar",0,"The way they write k just look similar",0,"The way they write n just look similar",0
-0.5,"Maintain_Innocence",0.87401185770751,1,7,-1,5.5,7.5,0.947420634920634,1.01086956521739,-0.328528249244365,1,"6",2,"21","1",2,"writing looks very similar ",0,"The I's look almost identical ",0,"writing looks very similar ",0,"writing looks very similar ",0,"writing looks very similar ",0,"writing looks very similar ",0,"writing looks very similar ",0
-0.5,"Maintain_Innocence",2.24901185770751,-1,2,2,6.5,5.5,0.364087301587304,1.13586956521739,-0.799116484538475,-1,"1",2,"18","1",1,"Very similar writing style",0,"Letter u",2,"Letter n",2,"Letter a",2,"Letter o",2,"Original unnaturally spaced out, shows intention to not mimic usual handwriting",2,"Original looks like its written quickly, but lots of letters still very similar",0
0.5,"Confess_Recant",1.49901185770751,-1,4,0,-6.5,-4.5,2.03075396825396,2.13586956521739,0.847942338990935,-3,"6",2,"19","5",1,"The I is slanted in different directions",1,"However other letters look similar",0,"The o is similar",0,"The a is smiliae",2,"The n is very similar",0,"The e is simikar",0,"The overlap is similar",0
-0.5,"Maintain_Innocence",0.99901185770751,0,2,1,4.5,-4.5,-0.135912698412696,1.01086956521739,-1.32852824924437,0,"4",3,"20","2",2,"the ""a""s look similar",0,"""I""s also look similar",0,"l",2,"u",2,"n",2,"s",2,"e",2
-0.5,"Maintain_Innocence",-1.00098814229249,0,-2,-2,-4.5,-2.5,-2.3859126984127,-1.48913043478261,0.612648221343875,-2,"1,3",3,"20","2",1,"The way the letters are written and the spacing.",2,"The letters dont really look the same especially the h and u. The",0,"second note the words are much closer together, in the first note theya",2,"are very far apart. In the second note the individual letters are also",2,"closer together than in the first. I think the handwriting looks a ",1,"little bit similar but not enough to be the same person, he could",1,"have changed it but there seems like a lot of small differences. ",1
0.5,"Confess_Recant",-1.37598814229249,0,0,-3,-6.5,-2.5,-2.21924603174604,-1.73913043478261,1.61264822134387,-2,"4",3,"18","2",2,"K",2,"T",2,"G",2,"h",2,"s",2,"t",2,"I",2
-0.5,"Maintain_Innocence",-0.000988142292490224,-1,0,-1,-3.5,-3.5,0.197420634920634,0.760869565217392,-1.15205766100906,0,"4",2,"20","2",1,"I",2,"Spacing of words ",2,"quiet ",2,"all ",2,"call",2,"",NA,"",NA
