"manipulation_condition","manipulation_condition_word","system_justification_GMC","pre_evidence_guilt_belief","alignment_search","post_evidence_guilt_belief","right_wing_authoritarianism_GMC","social_dominance_orientation_GMC","political_orientation","race","hispanic","education","age","gender","zip","which_stim","year","month","day","observation1","observation1_code","observation2","observation2_code","observation3","observation3_code","observation4","observation4_code"
0,"Control",-1.63628117913832,0,0,-2,0.339586339586339,1.52721088435374,0,"1",2,3,49,2,"85382",3,2025,4,14,"eyes ",0,"hair",0,"lips",1,"nose",1
0.5,"Incriminating",1.86371882086168,3,2,2,0.756253006253006,-0.0977891156462589,4,"2",2,6,35,1,"43229",3,2025,4,14,"Hairstyle",0,"Nose",0,"Ears",0,"Eyes",0
-0.5,"Exonerating",1.73871882086168,-4,-2,-3,0.339586339586339,-0.222789115646259,0.33333333333333,"1",2,6,33,2,"64134",4,2025,4,14,"nose bridge angle",1,"eye width apart",1,"mouth shape",1,"composure",1
0,"Control",0.488718820861679,0,0,1,0.256253006253006,0.902210884353741,1,"1",2,2,25,1,"39503",4,2025,4,14,"eyes",0,"wrinkles",0,"nose",1,"mouth",1
0.5,"Incriminating",1.39943310657596,1,2,2,0.506253006253006,-0.847789115646259,3.33333333333333,"2",2,6,54,1,"98155",3,2025,4,14,"nose",0,"eye",0,"mouth",0,"hair",0
-0.5,"Exonerating",-0.261281179138321,0,2,2,1.58958633958634,-0.847789115646259,1.66666666666667,"2",2,5,67,2,"98498",3,2025,4,14,"eye width apart",0,"mouth shape",0,"nose bridge angle",0,"hair style",0
0,"Control",2.61371882086168,4,2,3,1.33958633958634,3.65221088435374,-3,"1",2,6,35,2,"90810",1,2025,4,14,"nose bridge angle",0,"mouth shape",0,"eye width apart",0,"eyebrow",0
-0.5,"Exonerating",1.73871882086168,3,1,2,0.839586339586339,0.277210884353741,-2.66666666666667,"1",2,6,61,2,"07008",1,2025,4,14,"eye",0,"mouth shape",1,"nose",0,"neck",0
0.5,"Incriminating",1.48871882086168,4,2,3,1.08958633958634,0.402210884353741,-2.66666666666667,"1",2,6,35,2,"38024",4,2025,4,14,"EYEBROWS",0,"DRESSING",0,"CHIN",0,"FACE SHAPE",0
-0.5,"Exonerating",1.98871882086168,2,2,2,1.46079846079846,-0.222789115646259,-0.66666666666667,"1",2,5,30,2,"63628",3,2025,4,14,"eye width apart",0,"nose bridge angle",0,"mouth shape",0,"hair",0
0.5,"Incriminating",-0.261281179138321,2,2,3,1.17291967291967,0.402210884353741,-4,"1",2,6,44,1,"64504",1,2025,4,14,"hair",0,"nose",0,"head",0,"mouth",0
0,"Control",1.98871882086168,2,2,2,0.172919672919673,1.77721088435374,1,"2",2,6,42,1,"32099",3,2025,4,14,"Hair",0,"eyes shape",0,"nose shape",0,"ears",0
0.5,"Incriminating",3.23871882086168,3,2,3,1.75625300625301,-0.597789115646259,0,"1",2,6,41,1,"03079",4,2025,4,14,"eye width path",0,"nose bridge angle",0,"mouth shape",0,"chin",0
-0.5,"Exonerating",0.613718820861679,-2,1,1,1.67291967291967,3.15221088435374,2,"1",2,6,57,1,"49424",3,2025,4,14,"eye width apart",0,"mouth shape",1,"Nose bridge angle",0,"Cheeks type",0
0,"Control",1.23871882086168,1,2,2,0.339586339586339,1.15221088435374,-0.66666666666667,"1",2,5,31,1,"94107",4,2025,4,14,"Nose",0,"Hair",0,"Dress",0,"Ear",0
0,"Control",-0.261281179138321,0,2,2,-2.16041366041366,-0.0977891156462589,-2.33333333333333,"1",2,6,58,1,"03602",1,2025,4,14,"Long neck",0,"Hairstyle",0,"Ears",0,"Beards and facial hairs",0
-0.5,"Exonerating",0.113718820861679,1,-2,0,0.506253006253006,0.0272108843537411,2.66666666666667,"1",2,5,22,2,"70738",2,2025,4,14,"different",1,"different",1,"different",1,"different",1
-0.5,"Exonerating",-0.0112811791383214,-4,0,1,2.75625300625301,1.02721088435374,3,"1",1,6,31,1,"02169",2,2025,4,14,"Glasses",1,"Facial hair",0,"Hairline",1,"Nose",0
0.5,"Incriminating",1.61371882086168,2,1,1,0.589586339586339,0.652210884353741,-2,"2",2,6,31,1,"98401",3,2025,4,15,"eye",0,"head",0,"face",1,"mouth",0
-0.5,"Exonerating",0.613718820861679,2,2,2,-0.0770803270803269,1.52721088435374,1,"1",2,6,34,1,"34953",3,2025,4,15,"EYE",0,"HAIR",0,"NOSE",0,"MOUTH",0
-0.5,"Exonerating",1.61371882086168,1,0,2,-0.493746993746994,2.15221088435374,4,"2",2,6,28,1,"30265",4,2025,4,15,"hair",0,"nose",1,"mouth",1,"eye",0
-0.5,"Exonerating",-0.636281179138321,-3,2,1,0.256253006253006,1.40221088435374,0.5,"1",2,3,53,1,"91041",4,2025,4,15,"Eyes",0,"Hairstyle",0,"mouth",0,"Suit",0
0,"Control",0.113718820861679,0,0,0,-0.160413660413661,1.27721088435374,0,"1",2,6,44,2,"13029",4,2025,4,15,"Chin",0,"Eye width",1,"Hair",0,"Ears",1
0,"Control",-2.26128117913832,1,1,2,-1.32708032708033,-0.222789115646259,-3,"4",2,5,21,2,"48104",3,2025,4,15,"LIP",0,"HAIR",0,"NOSE",0,"EYEBROW",1
0,"Control",1.86371882086168,4,0,2,-0.410413660413661,1.02721088435374,3,"1",2,6,42,2,"78202",1,2025,4,15,": The nose bridge angle appears similar in both images, showing a straight, defined bridge - this is a SIMILARITY",0,"Piece of evidence 2: The eye spacing and width appears proportionally consistent between both images - this is a SIMILARITY",0,"Piece of evidence 3: The mouth shape shows a slight difference - the sketch depicts a slightly fuller lower lip compared to the photograph - this is a DIFFERENCE",1,"Piece of evidence 4: The overall face shape and jaw structure appears similar in both images, with a defined jawline and chin - this is a SIMILARITY",1
0.5,"Incriminating",0.613718820861679,2,2,3,2.17291967291967,1.27721088435374,2.66666666666667,"1",2,4,59,1,"56716",2,2025,4,15,"black glasses",0,"beard and mustache",0,"suit and tie",0,"same hairstyle/hairline",0
0,"Control",-0.386281179138321,1,2,1,-0.327080327080327,1.15221088435374,1.33333333333333,"1",2,5,37,2,"54922",2,2025,4,15,"facial hair",0,"Glasses",0,"suit",0,"oval face",0
0.5,"Incriminating",-0.636281179138321,1,2,2,0.756253006253006,-0.472789115646259,1.33333333333333,"1",1,3,26,2,"13903",3,2025,4,15,"mouth shape",0,"cheek bones",0,"nose shape",0,"eye shape",0
-0.5,"Exonerating",0.863718820861679,-2,2,1,2.17291967291967,1.27721088435374,3,"1",2,5,25,1,"27607",4,2025,4,15,"Hair",0,"Clothing",0,"Forehead ",0,"brow",0
0.5,"Incriminating",0.988718820861679,-1,2,1,-0.410413660413661,1.52721088435374,4,"2",2,6,27,1,"77351",2,2025,4,15,"eye width",0,"glasses",0,"hairs",0,"mouth shape",0
-0.5,"Exonerating",-1.51128117913832,-3,2,-1,-1.57708032708033,-0.972789115646259,-3,"4",2,6,38,1,"92071",3,2025,4,15,"hair",0,"expression",0,"nose",0,"clothing ",0
-0.5,"Exonerating",-0.386281179138321,-1,0,-2,0.0895863395863392,1.52721088435374,4,"1",2,6,53,1,"98058",1,2025,4,15,"Observation: Both the sketch and the photo show a narrow, angular jawline with a defined chin.",0,"Both have a high, sharp hairline with short, styled hair — closely cropped at the sides and fuller on top.",0,"Observation: The sketch shows a wider nose bridge and rounder nostrils; the photo shows a narrower, more defined bridge and slimmer nostrils.",1,"Observation: The eyes in the sketch are slightly wider apart and sit lower on the face, with a heavier brow ridge. In the photo, the eyes are closer and more deep-set.",1
0,"Control",-2.13628117913832,-2,1,-1,-2.91041366041366,-1.09778911564626,-3,"1",2,5,32,2,"44144",3,2025,4,15,"High cheek bones",0,"Nostrils",0,"boxy chin",0,"Lips",1
0,"Control",1.86371882086168,2,-2,-2,0.00625300625300618,0.277210884353741,4,"1",2,6,29,1,"14610",1,2025,4,15,"similar",1,"similar",1,"similar",1,"similar",1
-0.5,"Exonerating",-2.76128117913832,0,2,0,-2.49374699374699,-1.22278911564626,0,"1",2,6,48,2,"98042",3,2025,4,15,"Cheekbones",0,"Full lips",0,"Hair",0,"Nose",0
0.5,"Incriminating",-1.13628117913832,1,1,1,-1.41041366041366,-0.0977891156462589,-2,"6",2,6,41,2,"10456",3,2025,4,15,"jawline",0,"neck",1,"mouth shape",0,"eyes",0
-0.5,"Exonerating",-1.01128117913832,-4,-1,-2,1.17291967291967,-1.72278911564626,-2.66666666666667,"1",2,5,33,2,"85034",4,2025,4,15,"Nose bridge angle",1,"Hair style",0,"Mouth Shape",1,"Eyes",1
-0.5,"Exonerating",1.48871882086168,0,2,0,-1.82708032708033,-1.59778911564626,-3,"1",2,3,55,2,"33446",2,2025,4,15,"shape of face",0,"glasses",0,"facial hair",0,"age",0
0,"Control",-2.76128117913832,-1,2,1,-2.74374699374699,-1.34778911564626,-1.66666666666667,"1",2,3,57,1,"33308",2,2025,4,15,"beard",0,"glasses",0,"hair shape",0,"nose bridge",0
0,"Control",1.23871882086168,1,2,2,-0.577080327080327,1.02721088435374,0.66666666666667,"1",2,3,21,2,"47401",1,2025,4,15,"hair cut and color",0,"face shape",0,"nose",0,"facial hair",0
0,"Control",1.48871882086168,2,1,1,-0.243746993746994,1.65221088435374,-1.66666666666667,"1",1,6,60,1,"90001",3,2025,4,15,"eye",0,"nose",0,"mouth",1,"hair ",0
0.5,"Incriminating",-0.0112811791383214,-4,0,0,-3.41041366041366,-1.72278911564626,-3,"1",2,5,42,2,"66502",3,2025,4,15,"lips",0,"neck",0,"eyes",1,"nose",1
-0.5,"Exonerating",-0.0112811791383214,-3,2,-2,0.839586339586339,0.652210884353741,-0.66666666666667,"1",2,5,28,2,"77833",1,2025,4,15,"eyes",0,"nose",0,"hair style",0,"generally whole face",0
0,"Control",-2.38628117913832,0,-1,1,-0.0770803270803269,0.777210884353741,-1,"1",2,3,25,2,"55408",3,2025,4,15,"Face shape",0,"Eyes",1,"Nose bridge length",1,"Hair",1
0.5,"Incriminating",-3.13628117913832,0,2,3,-1.24374699374699,0.527210884353741,-2,"2",2,3,39,2,"14211",3,2025,4,15,"eyes",0,"nose",0,"mouth",0,"hair",0
0.5,"Incriminating",-1.88628117913832,3,2,2,0.672919672919673,-0.597789115646259,-2,"1",2,5,56,1,"14513",2,2025,4,15,"GLASSES",0,"SUIT",0,"TIE",0,"HAIR",0
0,"Control",-1.63628117913832,-2,1,0,-0.910413660413661,0.527210884353741,-3,"1",2,6,30,2,"20711",1,2025,4,15,"bulbous top head",0,"hair style",0,"facial hair",0,"nose",1
-0.5,"Exonerating",-3.51128117913832,-1,2,1,-3.24374699374699,-1.47278911564626,-4,"4",2,5,33,2,"98682",1,2025,4,15,"hair",0,"nose",0,"ears",0,"eyebrows",0
0,"Control",0.488718820861679,2,2,2,0.339586339586339,1.27721088435374,0.5,"4",2,4,34,2,"95252",1,2025,4,15,"hair",0,"eyes",0,"mouth",0,"chin",0
0.5,"Incriminating",0.113718820861679,0,2,2,0.00625300625300618,1.65221088435374,4,"1",2,6,46,1,"78744",4,2025,4,15,"hair",0,"tie",0,"coat",0,"eyes",0
0,"Control",1.86371882086168,4,2,3,1.25625300625301,-0.972789115646259,-2,"3",2,5,39,2,"17111",3,2025,4,15,"nose bridge",0,"hair style",0,"cheeks",0,"ears",0
0.5,"Incriminating",-1.63628117913832,1,0,1,-2.07708032708033,-0.597789115646259,-2.33333333333333,"1",2,3,21,2,"38017",2,2025,4,15,"Glasses",0,"Hairline",1,"Beard",0,"Beard/Hair Color",1
0,"Control",0.363718820861679,1,2,3,1.17291967291967,1.52721088435374,1.66666666666667,"6",1,5,61,1,"80128",1,2025,4,15,"hairstyle",0,"mouth",0,"nose",0,"forehead",0
0.5,"Incriminating",0.863718820861679,1,0,1,0.589586339586339,1.90221088435374,0,"2",NA,6,29,1,"48228",2,2025,4,15,"Jawline shape and definition – The jawline in both the sketch and photo is strong and angular, suggesting a SIMILARITY.",0," Nose bridge and tip – The photograph shows a defined nose bridge with a slightly rounded tip, while the sketch might show a narrower or differently shaped nose.",1,"Eye shape and spacing – Both the sketch and the photo depict deep-set eyes that are fairly evenly spaced.",0,"Facial hair (beard/mustache) – The photograph shows a full salt-and-pepper beard, but if the sketch lacks this detail or shows a different beard shape, that’s a DIFFERENCE.",1
0,"Control",1.86371882086168,3,1,2,0.00625300625300618,0.902210884353741,3,"2",2,5,28,1,"90009",4,2025,4,15,"eye width apart",0,"nose bridge angle",1,"mouth shape",0,"etc",0
-0.5,"Exonerating",1.61371882086168,-2,2,2,0.422919672919673,1.27721088435374,-3.33333333333333,"1",2,5,NA,1,"90045",4,2025,4,15,"Hair",0,"Eye ",0,"Face structure",0,"Ear",0
0,"Control",1.61371882086168,2,0,-2,1.08958633958634,-1.72278911564626,-3,"2",2,6,50,1,"33415",2,2025,4,15,"eye",1,"mouth",0,"mouth shape",0,"eye width apart",1
0.5,"Incriminating",-0.761281179138321,2,1,2,0.00625300625300618,0.277210884353741,-2,"1",2,6,57,2,"78408",4,2025,4,15,"node",0,"eyebrows",0,"eyes",1,"mouthshape",0
0,"Control",-0.0112811791383214,0,0,0,-0.0770803270803269,1.27721088435374,0,"2",2,6,NA,2,"97818",4,2025,4,15,"hair",0,"ear",0,"eye",1,"nose",1
-0.5,"Exonerating",1.48871882086168,2,1,2,-0.243746993746994,1.77721088435374,-2.66666666666667,"2",1,5,21,1,"90012",3,2025,4,15,"nose shape",0,"ears",0,"Mouth shape",0,"hair",1
-0.5,"Exonerating",0.363718820861679,2,1,-1,2.00625300625301,-1.72278911564626,0.33333333333333,"1",2,5,40,1,"71640",3,2025,4,15,"eye width apart",0,"nose bridge angle",0,"mouth shape",1,"hair style",0
-0.5,"Exonerating",1.73871882086168,2,0,-2,0.256253006253006,0.777210884353741,3,"1",2,6,33,2,"34731",1,2025,4,15,"MOUTH",0,"SHAPE",0,"EYE",1,"HAIR",1
0.5,"Incriminating",0.363718820861679,-2,-1,-2,3.25625300625301,0.277210884353741,3,"1",2,3,63,2,"55033",2,2025,4,15,"eyes width apart",1,"nose bridge width",1,"mouth shape",0,"face shape sketch is more wide",1
0.5,"Incriminating",1.36371882086168,-2,2,1,0.922919672919673,-0.0977891156462589,2.33333333333333,"2",2,6,21,2,"90078",2,2025,4,15,"eyes",0,"spects",0,"hair",0,"beards",0
0,"Control",-2.51128117913832,NA,-1,-1,-2.41041366041366,-0.972789115646259,-1.33333333333333,"4",2,5,55,2,"48098",2,2025,4,15,"beard",0,"forehead",1,"nose",1,"eyes",1
0,"Control",-3.26128117913832,-2,1,0,0.256253006253006,-1.72278911564626,-1.66666666666667,"1",2,3,28,1,"41339",4,2025,4,15,"jawline",1,"nose",0,"eyes",0,"space between nose and mouth",0
-0.5,"Exonerating",1.61371882086168,-3,-1,-2,-2.49374699374699,-1.72278911564626,-4,"1",2,6,63,1,"90731",2,2025,4,15,"tall forehead, hairline",0,"sketch beard darker",1,"sketch glasses have thicker rims",1,"sketch face wider thicker",1
-0.5,"Exonerating",-2.13628117913832,1,2,1,-0.410413660413661,-0.222789115646259,1.66666666666667,"2",2,5,29,2,"36301",3,2025,4,15,"Nose length",0,"Mouth shape",0,"Hair length",0,"Chin shape",0
0.5,"Incriminating",1.98871882086168,2,1,2,-0.577080327080327,1.27721088435374,3.66666666666667,"1",2,6,42,1,"96162",2,2025,4,15,"The nose bridge angle appears similar in both images, showing a straight, defined bridge",0," The eye spacing and width appears proportionally consistent between both images",0,"The mouth shape shows a slight difference - the sketch depicts a slightly fuller lower lip compared to the photograph",1," The overall face shape and jaw structure appears similar in both images, with a defined jawline and chin",0
-0.5,"Exonerating",1.36371882086168,-3,2,2,1.00625300625301,0.777210884353741,-2,"1",1,5,59,1,"35203",3,2025,4,15,"eye width apart",0,"nose bridge angle",0,"mouth shape",0,"ears",0
0.5,"Incriminating",1.11371882086168,2,2,3,0.839586339586339,0.402210884353741,0.66666666666667,"2",2,5,28,2,"80017",1,2025,4,15,"eye",0,"ears",0,"hair",0,"eye brows",0
-0.5,"Exonerating",-0.136281179138321,-4,2,1,0.922919672919673,-1.72278911564626,4,"1",2,6,36,1,"92646",3,2025,4,15,"hair",0,"jaw line",0,"eye brow",0,"nose",0
0.5,"Incriminating",0.488718820861679,1,0,1,0.672919672919673,-0.722789115646259,-0.33333333333333,"1",2,2,35,2,"28655",1,2025,4,15,"eye width apart",0,"nose",0,"lips",1,"face shape",1
0,"Control",-1.63628117913832,-2,-1,-1,-1.41041366041366,-0.222789115646259,0,"1",2,3,20,1,"90601",2,2025,4,15,"Hair",1,"Beard",0,"Nose",1,"Eyes",1
-0.5,"Exonerating",-0.0112811791383214,1,-1,1,0.00625300625300618,1.65221088435374,-1.66666666666667,"1",1,5,40,2,"66115",2,2025,4,15,"10",1,"10",1,"10",1,"10",0
-0.5,"Exonerating",-1.88628117913832,0,2,2,-2.74374699374699,-1.47278911564626,-2,"2",2,3,45,1,"30214",1,2025,4,15,"Ear protrusion",0,"hairstyle",0,"facial hair",0,"clothing",0
-0.5,"Exonerating",0.488718820861679,1,2,2,0.506253006253006,-0.0977891156462589,0,"1",2,5,29,2,"98204",1,2025,4,15,"eye width apart",0,"nose bridge angle",0,"mouth shape",0,"hairstyle",0
0,"Control",-0.386281179138321,0,2,2,1.82443482443482,-0.847789115646259,2,"2",2,6,54,1,"90210",1,2025,4,15,"hair",0,"ear",0,"jawline",0,"nose ",0
-0.5,"Exonerating",-0.636281179138321,2,0,1,0.756253006253006,1.77721088435374,-3,"1",2,6,32,1,"14225",4,2025,4,15,"eyes",1,"hairstyle",0,"ear",1,"attire",0
0.5,"Incriminating",0.988718820861679,3,1,1,0.756253006253006,1.52721088435374,-3.66666666666667,"2",2,6,51,2,"20103",2,2025,4,15,"nose bridge",0,"eyes",0,"Hair",0,"mouth shape",1
0.5,"Incriminating",0.488718820861679,3,0,-1,1.25625300625301,0.652210884353741,1.33333333333333,"1",2,5,26,1,"10001",4,2025,4,15,"eye width apart",0,"nose bridge angle",1,"mouth shape",0,"ear",1
0.5,"Incriminating",2.23871882086168,2,1,2,1.17291967291967,-0.222789115646259,-3,"3",2,5,30,2,"30331",4,2025,4,15,"Hair style",0," Nose",0,"Ears",0,"Mouth",1
-0.5,"Exonerating",-1.26128117913832,-3,-1,-2,-1.91041366041366,-0.847789115646259,-2,"1",2,6,67,2,"46205",2,2025,4,15,"hairline",1,"mustache/beard",1,"glasses",0,"eyes",1
-0.5,"Exonerating",-0.386281179138321,-2,0,-2,-0.993746993746994,-0.347789115646259,-1,"1",2,5,60,2,"76248",4,2025,4,15,"Eyes are deep set in picture on the right",1,"Ears are bigger in actual picture on right",1,"Hair is the same",0,"Face shape",0
0.5,"Incriminating",-0.386281179138321,4,2,3,-2.32708032708033,-1.72278911564626,-3.33333333333333,"1",2,6,39,1,"75460",4,2025,4,15,"mouth shape",0,"nose bridge angle",0,"eye width apart ",0,"Hair structure ",0
-0.5,"Exonerating",1.36371882086168,-2,2,-2,2.17291967291967,2.15221088435374,4,"1",2,5,39,1,"70520",2,2025,4,15,"HAir",0,"glasses",0,"beard",0,"forehead",0
0.5,"Incriminating",-2.76128117913832,0,2,1,1.08958633958634,-0.347789115646259,2.66666666666667,"1",2,4,40,2,"33920",3,2025,4,15,"Curly Hair",0,"Jaw Line",0,"Eye Spacing",0,"Chin ",0
-0.5,"Exonerating",-3.01128117913832,1,1,1,-3.32708032708033,-1.72278911564626,-4,"1",1,4,31,2,"25302",1,2025,4,15,"eye width apart",0,"lips",0,"eyebrows",1,"hair",0
0.5,"Incriminating",1.61371882086168,0,2,2,-0.660413660413661,0.652210884353741,0.33333333333333,"1",1,4,50,1,"93657",2,2025,4,15,"Hair",0,"Glasses",0,"Mustache",0,"Beard",0
0.5,"Incriminating",0.863718820861679,-1,-2,0,0.00625300625300618,1.52721088435374,4,"1",2,6,72,1,"33126",3,2025,4,15,"EYE",1,"NOSE",1,"MOUTH",1,"WIDTH",1
0.5,"Incriminating",0.238718820861679,-4,1,1,1.33958633958634,-0.347789115646259,0,"2",2,6,66,1,"38106",1,2025,4,15,"One of his ear is missing",1,"Hair cut",0,"Nose",0,"Eyes",0
0,"Control",-2.38628117913832,2,2,2,0.256253006253006,-1.72278911564626,2,"1",2,5,46,2,"93004",3,2025,4,15,"shape of face",0,"hair",0,"neck",0,"ears",0
0,"Control",1.61371882086168,NA,2,2,0.0895863395863392,0.902210884353741,0,"1",2,5,24,2,"10001",1,2025,4,15,"nose",0,"hair style",0,"the head shape",0,"eyes width",0
0,"Control",-3.13628117913832,-2,1,-3,-1.91041366041366,-1.72278911564626,-3,"1,3",2,5,50,2,"87940",2,2025,4,15,"Beard",1,"nose",0,"skin color",0,"eyeglasses",0
0.5,"Incriminating",2.48871882086168,2,2,2,0.422919672919673,-0.472789115646259,0,"2",2,5,30,1,"27893",2,2025,4,15,"MOUTH SHAPE",0,"GLASSES",0,"BEARDS ",0,"NOSE BRIDGE",0
0.5,"Incriminating",-2.26128117913832,0,-2,0,-1.24374699374699,-1.72278911564626,-4,"2",2,5,70,2,"31061",2,2025,4,15,"angle mouth",1,"hairline",1,"suit",1,"eyes",1
